Frame,YOLO_ms,Lane_ms,BEV_ms,Total_ms,FPS
328,16.37,25.87,0.91,43.63,22.92
329,17.04,26.65,1.05,45.27,22.09
330,16.36,26.55,0.89,44.26,22.6
331,20.72,25.63,0.8,47.59,21.01
332,15.86,25.29,0.84,42.43,23.57
333,20.85,25.93,0.87,48.08,20.8
334,17.2,36.46,0.79,54.82,18.24
335,16.59,24.12,0.68,41.73,23.96
336,15.89,23.44,0.64,40.31,24.81
337,17.49,27.38,0.79,46.02,21.73
338,15.97,25.04,0.64,42.04,23.79
339,17.09,23.38,0.56,41.4,24.16
340,15.55,23.57,0.66,40.13,24.92
341,18.58,26.55,0.69,46.19,21.65
342,16.16,25.15,0.67,42.33,23.62
343,16.0,23.44,0.6,40.49,24.7
344,15.84,23.11,0.64,39.95,25.03
345,15.97,25.79,0.6,42.7,23.42
346,16.55,25.06,0.83,42.86,23.33
347,17.69,24.52,1.08,43.79,22.84
348,16.04,25.14,0.83,42.43,23.57
349,16.89,28.02,0.96,46.33,21.59
350,18.63,33.91,0.91,53.94,18.54
351,16.08,23.37,0.75,40.54,24.67
352,15.93,25.0,0.92,42.33,23.62
353,16.19,26.62,0.63,43.83,22.82
354,17.07,29.77,1.09,48.4,20.66
355,20.29,28.54,1.08,50.48,19.81
356,16.58,25.62,1.21,43.93,22.77
357,22.58,28.57,1.2,52.89,18.91
358,16.85,25.22,1.11,43.7,22.88
359,16.15,22.77,0.82,40.26,24.84
360,15.64,22.85,0.84,39.85,25.1
361,18.52,25.47,0.67,45.0,22.22
362,16.34,24.53,0.78,42.02,23.8
363,17.37,22.79,0.63,41.13,24.31
364,15.85,23.18,0.76,40.14,24.91
365,19.57,29.75,0.83,50.51,19.8
366,25.69,24.68,0.76,51.47,19.43
367,19.09,24.31,0.78,44.52,22.46
368,16.34,23.94,0.98,41.75,23.95
369,18.76,30.46,0.74,50.31,19.88
370,16.67,24.52,1.06,42.71,23.42
371,18.1,24.89,1.12,44.63,22.4
372,16.26,25.32,1.22,43.4,23.04
373,18.67,27.62,0.9,47.72,20.96
374,17.49,40.76,1.17,59.91,16.69
375,18.22,23.36,0.92,42.93,23.29
376,19.0,33.59,1.14,54.26,18.43
377,18.04,29.62,1.05,49.21,20.32
378,17.18,25.98,1.11,44.84,22.3
379,18.36,35.47,1.33,55.83,17.91
380,16.73,28.42,1.67,47.35,21.12
381,20.95,27.94,1.07,50.48,19.81
382,17.81,26.98,1.19,46.47,21.52
383,17.41,24.99,0.99,43.9,22.78
384,16.8,24.74,1.05,43.12,23.19
385,19.41,27.92,1.08,48.99,20.41
386,16.42,24.42,0.77,42.02,23.8
387,18.03,23.77,0.6,42.76,23.39
388,15.47,23.41,0.6,39.86,25.09
389,17.4,23.65,0.54,41.93,23.85
390,16.01,22.68,0.79,39.9,25.06
391,16.85,21.91,0.55,39.67,25.21
392,14.35,21.66,0.17,36.4,27.48
393,17.48,25.02,0.19,42.9,23.31
394,16.29,24.01,0.51,41.16,24.3
395,29.21,24.88,0.19,54.5,18.35
396,16.13,23.11,0.2,39.66,25.22
397,16.04,25.08,0.19,41.52,24.08
398,15.82,24.88,0.19,41.13,24.32
399,18.04,24.27,0.56,43.21,23.14
400,14.45,22.04,0.2,36.92,27.09
401,18.39,27.05,0.19,45.88,21.8
402,17.07,23.09,0.54,41.04,24.36
403,17.09,22.79,0.52,40.75,24.54
404,16.01,25.59,0.63,42.58,23.48
